osm_id,latitude,longitude,source_type,name,industrial,power,plant_source,landuse,man_made,operator
way_1032969962,24.3830378,84.1552969,MINING,,,,,quarry,,
way_1032969963,24.3838006,84.1545003,MINING,,,,,quarry,,
way_1032969964,24.3864452,84.1540429,MINING,,,,,quarry,,
way_1032969965,24.3872855,84.1558709,MINING,,,,,quarry,,
way_1032969966,24.387859,84.155079,MINING,,,,,quarry,,
way_1032969967,24.3902798,84.1612547,MINING,,,,,quarry,,
way_1032981906,24.4209404,84.0824669,MINING,,,,,quarry,,
way_1032981907,24.421115,84.0809501,MINING,,,,,quarry,,
way_1032981908,24.4211974,84.0786199,MINING,,,,,quarry,,
way_1032981909,24.4203793,84.077264,MINING,,,,,quarry,,
way_1032981911,24.4191722,84.0813739,MINING,,,,,quarry,,
way_1032981912,24.4196783,84.0795614,MINING,,,,,quarry,,
way_1032981913,24.4174473,84.0801595,MINING,,,,,quarry,,
way_1032981914,24.4171487,84.0778341,MINING,,,,,quarry,,
way_1032981976,24.3990493,84.1437373,MINING,,,,,quarry,,
way_1032996224,24.5025622,84.0116183,MINING,,,,,quarry,,
way_1032996225,24.4992887,84.0024002,MINING,,,,,quarry,,
way_1032996226,24.5005267,84.0016976,MINING,,,,,quarry,,
way_1032996227,24.501024,84.0016821,MINING,,,,,quarry,,
way_1032996228,24.5015177,84.0008506,MINING,,,,,quarry,,
way_1032996229,24.5017696,84.0016411,MINING,,,,,quarry,,
way_1032996232,24.5002351,84.0038279,MINING,,,,,quarry,,
way_1032996233,24.5063135,84.0016298,MINING,,,,,quarry,,
way_1032996236,24.5109334,83.9916265,MINING,,,,,quarry,,
way_1032996237,24.5101013,83.9886506,MINING,,,,,quarry,,
way_1032996238,24.5085845,83.9852791,MINING,,,,,quarry,,
way_1032996239,24.5088382,83.9865021,MINING,,,,,quarry,,
way_1032996244,24.5083148,83.9903833,MINING,,,,,quarry,,
way_1032996245,24.5048479,83.9903511,MINING,,,,,quarry,,
way_1032996246,24.5041364,83.9903257,MINING,,,,,quarry,,
way_1032996247,24.4992893,83.9917928,MINING,,,,,quarry,,
way_1032996248,24.4980421,83.9934115,MINING,,,,,quarry,,
way_1032996292,24.5119853,83.9878748,MINING,,,,,quarry,,
way_1032996315,24.5190527,83.9776844,MINING,,,,,quarry,,
way_1032996318,24.5018191,83.9717392,MINING,,,,,quarry,,
way_1032996325,24.5140121,83.9669066,MINING,,,,,quarry,,
way_1032996326,24.512934,83.9663158,MINING,,,,,quarry,,
way_1032996327,24.5107924,83.9665277,MINING,,,,,quarry,,
way_1032996328,24.5112891,83.9644511,MINING,,,,,quarry,,
way_1032996350,24.4977992,83.9751778,MINING,,,,,quarry,,
way_1032996351,24.4950094,83.9713369,MINING,,,,,quarry,,
way_1032996352,24.4797937,83.974628,MINING,,,,,quarry,,
way_1032996353,24.4789052,83.9698147,MINING,,,,,quarry,,
way_1032996354,24.4782022,83.9694916,MINING,,,,,quarry,,
way_1032996355,24.4767729,83.9731045,MINING,,,,,quarry,,
way_1032996356,24.4720772,83.9729516,MINING,,,,,quarry,,
way_1032996357,24.4713345,83.9699294,MINING,,,,,quarry,,
way_1032996358,24.4695138,83.9662025,MINING,,,,,quarry,,
way_1032996359,24.4690109,83.9674518,MINING,,,,,quarry,,
way_1032996360,24.4689634,83.9671627,MINING,,,,,quarry,,
way_1032996361,24.4632127,83.975316,MINING,,,,,quarry,,
way_1032996362,24.4673661,83.9786748,MINING,,,,,quarry,,
way_1032996363,24.4666752,83.9784012,MINING,,,,,quarry,,
way_1032996364,24.4651354,83.9795237,MINING,,,,,quarry,,
way_1032996365,24.4651841,83.978194,MINING,,,,,quarry,,
way_1032996387,24.4732234,83.9570066,MINING,,,,,quarry,,
way_1032996392,24.4730708,83.9558264,MINING,,,,,quarry,,
way_1032996406,24.4845537,84.002527,MINING,,,,,quarry,,
way_1032996407,24.5138863,84.0386416,MINING,,,,,quarry,,
way_1032996408,24.5044306,84.0311529,MINING,,,,,quarry,,
way_1032996409,24.4954024,84.0182622,MINING,,,,,quarry,,
way_1032996410,24.4962902,84.0105207,MINING,,,,,quarry,,
way_1032996412,24.4976924,84.0115881,MINING,,,,,quarry,,
way_1032996413,24.4970041,84.0098803,MINING,,,,,quarry,,
way_1032996432,24.4594834,84.0559633,MINING,,,,,quarry,,
